Afkomst,Gerecht,Ingrediënten,Wijnsoort,Smaakprofiel,Wijnstijl
Frankrijk,Quiche Lorraine à la Crème met truffel,"eieren, room, spek",Chardonnay,"Vol, Romig, Droog",Wit
Nederland,Kipspies met Paprika Ambachtelijk met citroen,"paprika, ui, kip",Rosé,"Licht, Fruitig, Fris",Rosé
Frankrijk,Poulet à la Crème Traditionnel met roomsaus,"champignons, kip, room",Chardonnay,"Vol, Romig, Droog",Wit
Nederland,Asperges met Ham Hollands met saus,"asperges, boter, ham",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Sauerbraten Rheinisch met saus,"ui, azijn, rundvlees",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Magret de Canard à la Crème met champignons,"aardappelgratin, rode wijnsaus, eend",Syrah,"Krachtig, Kruidig, Stevig",Rood
Duitsland,Kartoffelsalat Rheinisch met truffel,"aardappel, ui, azijn",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Patatas Bravas Tradicional met kruiden,"paprika, tomaat, aardappel",Garnacha,"Fruitig, Rond, Zacht",Rood
Nederland,Pannenkoeken met Appel met Spekjes met roomsaus,"bloem, melk, appel",Rosé,"Licht, Fruitig, Fris",Rosé
Italië,Spaghetti alle Vongole alla Casa met roomsaus,"witte wijn, venusschelpen, olijfolie, knoflook",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Tiramisu alla Toscana met verse basilicum,"cacao, koffie, mascarpone",Prosecco,"Fris, Mousserend, Licht",Mousserend
Italië,Insalata Caprese alla Toscana met olijven,"olijfolie, tomaat, basilicum",Pinot Grigio,"Fris, Licht, Droog",Wit
Duitsland,Forelle Müllerin Hausgemacht met verse groenten,"citroen, boter, forel",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Albondigas en Salsa Tradicional met roomsaus,"gehaktballetjes, ui, tomatensaus",Tempranillo,"Aards, Vol, Krachtig",Rood
Nederland,Pannenkoeken met Appel Ouderwets met verse groenten,"appel, melk, bloem",Rosé,"Licht, Fruitig, Fris",Rosé
Frankrijk,Magret de Canard Régionale met champignons,"rode wijnsaus, eend, aardappelgratin",Syrah,"Krachtig, Kruidig, Stevig",Rood
Spanje,Chorizo al Vino de la Casa met olijven,"rode wijn, knoflook, chorizo",Tempranillo,"Aards, Vol, Krachtig",Rood
Duitsland,Sauerbraten nach Oma’s Rezept met verse groenten,"azijn, rundvlees, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Bratwurst mit Sauerkraut Klassisch met kruiden,"worst, zuurkool, aardappel",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Chorizo al Vino Andaluz met champignons,"knoflook, rode wijn, chorizo",Tempranillo,"Aards, Vol, Krachtig",Rood
Frankrijk,Quiche Lorraine Maison met truffel,"eieren, room, kaas, spek",Chardonnay,"Vol, Romig, Droog",Wit
Duitsland,Apfelstrudel Klassisch met saus,"kaneel, appel, deeg",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Poulet à la Crème au Vin met citroen,"kip, room, boter",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Canard à l’Orange au Vin met verse groenten,"boter, sinaasappel, eend",Pinot Noir,"Elegant, Droog, Licht",Rood
Nederland,Zalm met Dillesaus Ouderwets met kruiden,"citroen, zalm, dille",Rosé,"Licht, Fruitig, Fris",Rosé
Nederland,Kibbeling Ouderwets met kruiden,"beslag, citroen, witvis",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Canard à l’Orange de Lyon met kruiden,"honing, boter, eend",Pinot Noir,"Elegant, Droog, Licht",Rood
Duitsland,Forelle Müllerin Hausgemacht met olijven,"boter, forel, citroen",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Insalata Caprese Tradizionale met champignons,"basilicum, tomaat, mozzarella",Pinot Grigio,"Fris, Licht, Droog",Wit
Duitsland,Rinderroulade Bayerisch speciale editie,"mosterd, augurk, rundvlees",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Duitsland,Bratwurst mit Sauerkraut nach Oma’s Rezept met olijven,"aardappel, worst, zuurkool",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Italië,Bistecca alla Fiorentina del Mare speciale editie,"citroen, peper, olijfolie",Chianti,"Droog, Kruidig, Vol",Rood
Spanje,Albondigas en Salsa del Norte met olijven,"ui, tomatensaus, gehaktballetjes",Tempranillo,"Aards, Vol, Krachtig",Rood
Italië,Risotto ai Funghi Rustico uit de oven,"rijst, kaas, paddenstoelen, room",Pinot Grigio,"Fris, Licht, Droog",Wit
Spanje,Pulpo a la Gallega Tradicional met truffel,"inktvis, paprika, aardappel",Albariño,"Fris, Aromatisch, Zacht",Wit
Italië,Spaghetti alle Vongole Tradizionale met truffel,"olijfolie, witte wijn, venusschelpen, knoflook",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Risotto ai Funghi alla Casa met kruiden,"rijst, boter, kaas, room, paddenstoelen",Pinot Grigio,"Fris, Licht, Droog",Wit
Spanje,Albondigas en Salsa Catalana met olijven,"tomatensaus, ui, gehaktballetjes",Tempranillo,"Aards, Vol, Krachtig",Rood
Nederland,Pannenkoeken met Appel met Spekjes met champignons,"melk, appel, bloem",Rosé,"Licht, Fruitig, Fris",Rosé
Spanje,Pulpo a la Gallega de la Casa met olijven,"inktvis, aardappel, paprika",Albariño,"Fris, Aromatisch, Zacht",Wit
Spanje,Paella Valenciana Catalana met citroen,"saffraan, rijst, kip, garnalen",Tempranillo,"Aards, Vol, Krachtig",Rood
Italië,Spaghetti alle Vongole al Forno met truffel,"knoflook, venusschelpen, witte wijn",Pinot Grigio,"Fris, Licht, Droog",Wit
Spanje,Pulpo a la Gallega Tradicional met kruiden,"aardappel, inktvis, paprika",Albariño,"Fris, Aromatisch, Zacht",Wit
Spanje,Merluza a la Plancha Casera met verse groenten,"citroen, peterselie, heek",Albariño,"Fris, Aromatisch, Zacht",Wit
Spanje,Chorizo al Vino Catalana met olijven,"rode wijn, chorizo, knoflook",Tempranillo,"Aards, Vol, Krachtig",Rood
Frankrijk,Canard à l’Orange Traditionnel van de chef,"honing, sinaasappel, eend",Pinot Noir,"Elegant, Droog, Licht",Rood
Italië,Bruschetta al Pomodoro Rustico met champignons,"olijfolie, stokbrood, basilicum",Prosecco,"Fris, Mousserend, Licht",Mousserend
Duitsland,Kartoffelsalat nach Oma’s Rezept met olijven,"azijn, ui, aardappel",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Nederland,Asperges met Ham Ambachtelijk met citroen,"ham, boter, asperges",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Rinderroulade vom Grill met verse groenten,"rundvlees, augurk, mosterd",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Italië,Spaghetti alle Vongole Rustico met olijven,"olijfolie, venusschelpen, witte wijn",Pinot Grigio,"Fris, Licht, Droog",Wit
Frankrijk,Magret de Canard au Vin speciale editie,"aardappelgratin, eend, rode wijnsaus",Syrah,"Krachtig, Kruidig, Stevig",Rood
Duitsland,Apfelstrudel Bayerisch met citroen,"appel, deeg, kaneel",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Empanadas Catalana met verse basilicum,"ui, gehakt, paprika",Garnacha,"Fruitig, Rond, Zacht",Rood
Nederland,Zalm met Dillesaus Ambachtelijk met kruiden,"zalm, dille, citroen",Rosé,"Licht, Fruitig, Fris",Rosé
Duitsland,Bratwurst mit Sauerkraut Hausgemacht van de chef,"zuurkool, aardappel, worst",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Italië,Insalata Caprese alla Casa met saus,"mozzarella, basilicum, tomaat, olijfolie",Pinot Grigio,"Fris, Licht, Droog",Wit
Frankrijk,Poulet à la Crème Régionale speciale editie,"room, champignons, kip",Chardonnay,"Vol, Romig, Droog",Wit
Italië,Risotto ai Funghi Rustico met olijven,"paddenstoelen, boter, room, rijst, kaas",Pinot Grigio,"Fris, Licht, Droog",Wit
Nederland,Pannenkoeken met Appel Ambachtelijk met olijven,"melk, appel, bloem",Rosé,"Licht, Fruitig, Fris",Rosé
Spanje,Chorizo al Vino Catalana met citroen,"knoflook, rode wijn, chorizo",Tempranillo,"Aards, Vol, Krachtig",Rood
Nederland,Kipspies met Paprika Ouderwets uit de oven,"ui, kip, paprika",Rosé,"Licht, Fruitig, Fris",Rosé
Duitsland,Apfelstrudel Hausgemacht met saus,"appel, deeg, kaneel",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Merluza a la Plancha de la Casa met citroen,"peterselie, heek, citroen",Albariño,"Fris, Aromatisch, Zacht",Wit
Duitsland,Apfelstrudel Bayerisch met verse basilicum,"appel, deeg, kaneel",Riesling,"Zoet, Fris, Aromatisch",Wit
Nederland,Asperges met Ham Ouderwets met roomsaus,"ham, asperges, boter",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Fritto Misto Classico met truffel,"bloem, garnalen, citroen, inktvis",Prosecco,"Fris, Mousserend, Licht",Mousserend
Duitsland,Bratwurst mit Sauerkraut Klassisch met champignons,"worst, aardappel, zuurkool",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Albondigas en Salsa del Norte met verse basilicum,"gehaktballetjes, tomatensaus, ui",Tempranillo,"Aards, Vol, Krachtig",Rood
Spanje,Merluza a la Plancha Tradicional met olijven,"heek, citroen, peterselie",Albariño,"Fris, Aromatisch, Zacht",Wit
Spanje,Gazpacho Andaluz Catalana met saus,"tomaat, knoflook, komkommer, olijfolie",Albariño,"Fris, Aromatisch, Zacht",Wit
Duitsland,Sauerbraten Hausgemacht met saus,"ui, rundvlees, azijn",Riesling,"Zoet, Fris, Aromatisch",Wit
Nederland,Pannenkoeken met Appel Hollands met truffel,"melk, bloem, appel",Rosé,"Licht, Fruitig, Fris",Rosé
Italië,Risotto ai Funghi al Forno met citroen,"boter, kaas, room, rijst, paddenstoelen",Pinot Grigio,"Fris, Licht, Droog",Wit
Spanje,Tortilla Española Catalana speciale editie,"ei, ui, aardappel",Garnacha,"Fruitig, Rond, Zacht",Rood
Italië,Lasagne alla Bolognese alla Toscana met kruiden,"tomaat, knoflook, kaas, ui",Chianti,"Droog, Kruidig, Vol",Rood
Duitsland,Kartoffelsalat Rheinisch met verse groenten,"aardappel, azijn, ui",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Frankrijk,Cassoulet Provençale speciale editie,"vlees, tomaat, bonen",Syrah,"Krachtig, Kruidig, Stevig",Rood
Italië,Insalata Caprese alla Toscana van de chef,"olijfolie, basilicum, tomaat, mozzarella",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Pasta all’Amatriciana Rustico van de chef,"peper, guanciale, pecorino, ui",Chianti,"Droog, Kruidig, Vol",Rood
Italië,Tiramisu del Mare met olijven,"eieren, suiker, mascarpone",Prosecco,"Fris, Mousserend, Licht",Mousserend
Nederland,Pannenkoeken met Appel met Spekjes met verse groenten,"bloem, appel, melk",Rosé,"Licht, Fruitig, Fris",Rosé
Duitsland,Sauerbraten nach Oma’s Rezept met roomsaus,"ui, rundvlees, azijn",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Magret de Canard au Vin met citroen,"rode wijnsaus, aardappelgratin, eend",Syrah,"Krachtig, Kruidig, Stevig",Rood
Spanje,Merluza a la Plancha de la Casa van de chef,"heek, citroen, peterselie",Albariño,"Fris, Aromatisch, Zacht",Wit
Duitsland,Sauerbraten nach Oma’s Rezept uit de oven,"rundvlees, ui, azijn",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Boeuf Bourguignon au Vin speciale editie,"tijm, rode wijn, ui, rundvlees, wortel",Pinot Noir,"Elegant, Droog, Licht",Rood
Frankrijk,Poulet à la Crème au Vin uit de oven,"kip, room, champignons, boter",Chardonnay,"Vol, Romig, Droog",Wit
Spanje,Empanadas de la Casa met verse groenten,"ui, gehakt, paprika",Garnacha,"Fruitig, Rond, Zacht",Rood
Duitsland,Forelle Müllerin Rheinisch uit de oven,"forel, citroen, boter",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Tiramisu al Forno uit de oven,"eieren, suiker, mascarpone, cacao, koffie",Prosecco,"Fris, Mousserend, Licht",Mousserend
Italië,Lasagne alla Bolognese Classico met champignons,"ui, gehakt, tomaat",Chianti,"Droog, Kruidig, Vol",Rood
Nederland,Pannenkoeken met Appel Hollands van de chef,"melk, appel, bloem",Rosé,"Licht, Fruitig, Fris",Rosé
Duitsland,Apfelstrudel Hausgemacht met kruiden,"appel, kaneel, deeg",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Bratwurst mit Sauerkraut Rheinisch met truffel,"worst, zuurkool, aardappel",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Italië,Risotto ai Funghi del Mare met roomsaus,"kaas, paddenstoelen, rijst",Pinot Grigio,"Fris, Licht, Droog",Wit
Duitsland,Forelle Müllerin vom Grill met roomsaus,"citroen, boter, forel",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Insalata Caprese Tradizionale speciale editie,"mozzarella, tomaat, olijfolie, basilicum",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Spaghetti alle Vongole Tradizionale met kruiden,"witte wijn, knoflook, olijfolie",Pinot Grigio,"Fris, Licht, Droog",Wit
Nederland,Haring met Ui met Spekjes met citroen,"ui, haring",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Bistecca alla Fiorentina al Forno met kruiden,"citroen, peper, rundvlees",Chianti,"Droog, Kruidig, Vol",Rood
Frankrijk,Boeuf Bourguignon Traditionnel met champignons,"ui, rundvlees, rode wijn, wortel",Pinot Noir,"Elegant, Droog, Licht",Rood
Italië,Bistecca alla Fiorentina al Forno met verse groenten,"olijfolie, rozemarijn, rundvlees",Chianti,"Droog, Kruidig, Vol",Rood
Frankrijk,Filet de Sole Régionale uit de oven,"peterselie, boter, vis, citroen",Chardonnay,"Vol, Romig, Droog",Wit
Italië,Insalata Caprese Rustico met kruiden,"mozzarella, tomaat, olijfolie, basilicum",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Bistecca alla Fiorentina alla Toscana uit de oven,"peper, citroen, rozemarijn, rundvlees",Chianti,"Droog, Kruidig, Vol",Rood
Italië,Pasta all’Amatriciana alla Toscana uit de oven,"peper, tomaat, guanciale, ui, pecorino",Chianti,"Droog, Kruidig, Vol",Rood
Frankrijk,Poulet à la Crème au Vin met roomsaus,"champignons, kip, room, boter",Chardonnay,"Vol, Romig, Droog",Wit
Spanje,Pulpo a la Gallega Casera met citroen,"paprika, aardappel, inktvis",Albariño,"Fris, Aromatisch, Zacht",Wit
Italië,Tiramisu alla Casa met olijven,"eieren, cacao, suiker, mascarpone, koffie",Prosecco,"Fris, Mousserend, Licht",Mousserend
Nederland,Asperges met Ham met Kaas uit de oven,"asperges, boter, ham",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Bratwurst mit Sauerkraut Hausgemacht met champignons,"zuurkool, worst, aardappel",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Nederland,Zalm met Dillesaus met Kaas met roomsaus,"zalm, dille, citroen",Rosé,"Licht, Fruitig, Fris",Rosé
Italië,Tiramisu Rustico van de chef,"cacao, suiker, koffie, mascarpone, eieren",Prosecco,"Fris, Mousserend, Licht",Mousserend
Nederland,Pannenkoeken met Appel Ambachtelijk met kruiden,"bloem, appel, melk",Rosé,"Licht, Fruitig, Fris",Rosé
Frankrijk,Filet de Sole Régionale van de chef,"peterselie, vis, boter",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Entrecôte au Poivre à la Crème met saus,"peper, rundvlees, room",Syrah,"Krachtig, Kruidig, Stevig",Rood
Frankrijk,Boeuf Bourguignon Traditionnel met truffel,"rode wijn, ui, wortel",Pinot Noir,"Elegant, Droog, Licht",Rood
Spanje,Empanadas del Mar met olijven,"paprika, ui, gehakt",Garnacha,"Fruitig, Rond, Zacht",Rood
Nederland,Kibbeling Ambachtelijk met saus,"witvis, citroen, beslag",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Magret de Canard Provençale van de chef,"rode wijnsaus, eend, aardappelgratin",Syrah,"Krachtig, Kruidig, Stevig",Rood
Spanje,Pulpo a la Gallega del Norte met champignons,"aardappel, paprika, inktvis",Albariño,"Fris, Aromatisch, Zacht",Wit
Italië,Lasagne alla Bolognese Rustico met verse groenten,"kaas, tomaat, knoflook, gehakt",Chianti,"Droog, Kruidig, Vol",Rood
Spanje,Pulpo a la Gallega Catalana met truffel,"aardappel, paprika, inktvis",Albariño,"Fris, Aromatisch, Zacht",Wit
Spanje,Albondigas en Salsa Tradicional met verse basilicum,"tomatensaus, ui, gehaktballetjes",Tempranillo,"Aards, Vol, Krachtig",Rood
Spanje,Merluza a la Plancha del Mar met roomsaus,"citroen, peterselie, heek",Albariño,"Fris, Aromatisch, Zacht",Wit
Duitsland,Bratwurst mit Sauerkraut Rheinisch met kruiden,"worst, zuurkool, aardappel",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Frankrijk,Quiche Lorraine Provençale met verse basilicum,"spek, room, eieren, kaas",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Poulet à la Crème Régionale met kruiden,"kip, room, champignons, boter",Chardonnay,"Vol, Romig, Droog",Wit
Duitsland,Sauerbraten nach Oma’s Rezept met champignons,"rundvlees, azijn, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Patatas Bravas Catalana met olijven,"paprika, tomaat, aardappel",Garnacha,"Fruitig, Rond, Zacht",Rood
Italië,Lasagne alla Bolognese Tradizionale uit de oven,"tomaat, knoflook, kaas, gehakt",Chianti,"Droog, Kruidig, Vol",Rood
Spanje,Empanadas Catalana met citroen,"ui, gehakt, paprika",Garnacha,"Fruitig, Rond, Zacht",Rood
Italië,Fritto Misto Classico met verse groenten,"garnalen, bloem, citroen",Prosecco,"Fris, Mousserend, Licht",Mousserend
Spanje,Albondigas en Salsa de la Casa met champignons,"gehaktballetjes, ui, tomatensaus",Tempranillo,"Aards, Vol, Krachtig",Rood
Nederland,Kibbeling Ambachtelijk met kruiden,"citroen, witvis, beslag",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Paella Valenciana del Mar met verse basilicum,"garnalen, kip, rijst",Tempranillo,"Aards, Vol, Krachtig",Rood
Spanje,Merluza a la Plancha Andaluz met champignons,"heek, peterselie, citroen",Albariño,"Fris, Aromatisch, Zacht",Wit
Italië,Pasta all’Amatriciana Rustico met truffel,"tomaat, guanciale, pecorino, peper, ui",Chianti,"Droog, Kruidig, Vol",Rood
Frankrijk,Magret de Canard à la Crème met saus,"aardappelgratin, rode wijnsaus, eend",Syrah,"Krachtig, Kruidig, Stevig",Rood
Frankrijk,Boeuf Bourguignon Régionale met verse groenten,"rundvlees, tijm, rode wijn, wortel, ui",Pinot Noir,"Elegant, Droog, Licht",Rood
Italië,Pasta all’Amatriciana alla Casa met citroen,"pecorino, peper, guanciale",Chianti,"Droog, Kruidig, Vol",Rood
Italië,Insalata Caprese al Forno met olijven,"basilicum, mozzarella, tomaat, olijfolie",Pinot Grigio,"Fris, Licht, Droog",Wit
Nederland,Asperges met Ham Hollands speciale editie,"boter, ham, asperges",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Gazpacho Andaluz Casera met truffel,"knoflook, olijfolie, tomaat",Albariño,"Fris, Aromatisch, Zacht",Wit
Duitsland,Kartoffelsalat nach Oma’s Rezept met roomsaus,"aardappel, azijn, ui",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Gazpacho Andaluz Tradicional uit de oven,"olijfolie, knoflook, komkommer, tomaat",Albariño,"Fris, Aromatisch, Zacht",Wit
Spanje,Merluza a la Plancha Catalana met saus,"heek, citroen, peterselie",Albariño,"Fris, Aromatisch, Zacht",Wit
Duitsland,Kartoffelsalat vom Grill met saus,"aardappel, ui, azijn",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Nederland,Haring met Ui Hollands met citroen,"haring, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Rinderroulade nach Oma’s Rezept met truffel,"augurk, rundvlees, mosterd",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Frankrijk,Quiche Lorraine à la Crème met verse basilicum,"kaas, room, eieren, spek",Chardonnay,"Vol, Romig, Droog",Wit
Italië,Spaghetti alle Vongole alla Toscana met roomsaus,"witte wijn, olijfolie, venusschelpen",Pinot Grigio,"Fris, Licht, Droog",Wit
Nederland,Zalm met Dillesaus van het Huis met saus,"zalm, citroen, dille",Rosé,"Licht, Fruitig, Fris",Rosé
Italië,Insalata Caprese Classico met kruiden,"mozzarella, basilicum, tomaat",Pinot Grigio,"Fris, Licht, Droog",Wit
Spanje,Tortilla Española de la Casa met kruiden,"aardappel, ui, ei",Garnacha,"Fruitig, Rond, Zacht",Rood
Duitsland,Rinderroulade nach Oma’s Rezept met verse groenten,"rundvlees, mosterd, augurk",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Gazpacho Andaluz Tradicional met roomsaus,"tomaat, komkommer, knoflook",Albariño,"Fris, Aromatisch, Zacht",Wit
Nederland,Kibbeling met Kaas met saus,"witvis, beslag, citroen",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Empanadas de la Casa met kruiden,"paprika, ui, gehakt",Garnacha,"Fruitig, Rond, Zacht",Rood
Duitsland,Sauerbraten nach Oma’s Rezept met truffel,"ui, rundvlees, azijn",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Rinderroulade nach Oma’s Rezept uit de oven,"mosterd, rundvlees, augurk",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Duitsland,Forelle Müllerin nach Oma’s Rezept met roomsaus,"boter, citroen, forel",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Chorizo al Vino del Norte speciale editie,"rode wijn, chorizo, knoflook",Tempranillo,"Aards, Vol, Krachtig",Rood
Nederland,Haring met Ui Ouderwets met truffel,"haring, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Merluza a la Plancha del Mar met verse groenten,"heek, citroen, peterselie",Albariño,"Fris, Aromatisch, Zacht",Wit
Italië,Spaghetti alle Vongole del Mare met citroen,"venusschelpen, knoflook, olijfolie",Pinot Grigio,"Fris, Licht, Droog",Wit
Frankrijk,Canard à l’Orange à la Crème met roomsaus,"boter, eend, sinaasappel",Pinot Noir,"Elegant, Droog, Licht",Rood
Duitsland,Rinderroulade Bayerisch met verse basilicum,"rundvlees, mosterd, augurk",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Italië,Spaghetti alle Vongole Rustico uit de oven,"witte wijn, olijfolie, knoflook, venusschelpen",Pinot Grigio,"Fris, Licht, Droog",Wit
